,loss,accuracy,val_loss,val_accuracy
0,0.41446149349212646,0.8242943286895752,0.3828544318675995,0.8365323543548584
1,0.3842789828777313,0.8363869190216064,0.37241891026496887,0.8440430164337158
2,0.3751342296600342,0.8399514555931091,0.35693180561065674,0.8417848944664001
3,0.370126873254776,0.8420296311378479,0.3692036271095276,0.8495655655860901
4,0.3667106628417969,0.8423596024513245,0.36423856019973755,0.8430612087249756
5,0.36278507113456726,0.8441241383552551,0.35683462023735046,0.8473320007324219
6,0.36201173067092896,0.8443232178688049,0.3600281774997711,0.8503019213676453
7,0.35999971628189087,0.8457168340682983,0.34976303577423096,0.8539835810661316
8,0.3574574887752533,0.8458068370819092,0.356677383184433,0.8516272902488708
9,0.3565557599067688,0.8462977409362793,0.3564092218875885,0.8529527187347412
